basements,building_code_description,category_code,central_air,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,garage_spaces,general_construction,homestead_exemption,interior_condition,market_value,number_of_bathrooms,number_of_bedrooms,number_stories,off_street_open,parcel_shape,quality_grade,street_code,taxable_building,taxable_land,total_area,total_livable_area,type_heater,view_type,year_built,zip_code,zoning,pin,building_code_new,building_code_description_new,lat,lng
,VACANT LAND RESIDE < ACRE,6,,2058.0,0.0,0.0,,,1.0,,,0,,0.0,,,,121.0,B,,67120.0,0.0,0.0,2058.0,,,,,19106.0,CMX3,1001437638,,,39.95375563401954,-75.14417551987378
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,58890.0,0.0,0.0,4929.0,,,,,19145.0,RSA5,1001683080,,,39.91139413041368,-75.18926686386264
,VACANT LAND RESIDE < ACRE,6,,42.0,0.0,0.0,,,6.0,,,0,,0.0,,,,462.0,E,,51520.0,0.0,0.0,260.0,,,,,19147.0,RM1,1001334553,,,39.94266760750676,-75.15030335937415
1,IND WAREHOUSE MASONRY,1,Y,,0.0,0.0,1.0,1.0,,3.0,3 ,0,1.0,0.0,4.0,4.0,3.0,553.0,E,,88270.0,0.0,0.0,,5180.0,A,I,2023.0,,,1001685281,25,ROW MODERN,,
1,IND WAREHOUSE MASONRY,1,Y,,0.0,0.0,2.0,1.0,,3.0,3 ,0,2.0,0.0,4.0,4.0,3.0,553.0,E,,88270.0,0.0,0.0,,5180.0,A,I,2023.0,,,1001685280,25,ROW MODERN,,
1,IND WAREHOUSE MASONRY,1,Y,,0.0,0.0,1.0,1.0,,3.0,3 ,0,1.0,0.0,4.0,4.0,3.0,553.0,E,,18280.0,0.0,0.0,,5180.0,A,I,2023.0,19103.0,,1001685282,25,ROW MODERN,39.95229435256034,-75.17881012194981
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,774.0,E,,35200.0,0.0,0.0,,,,,,19123.0,CMX3,1001681152,,,39.96793169971798,-75.13681190304311
1,IND WAREHOUSE MASONRY,1,Y,,0.0,0.0,1.0,1.0,,3.0,3 ,0,1.0,0.0,4.0,4.0,3.0,553.0,E,,18280.0,0.0,0.0,,5180.0,A,I,2023.0,,,1001685283,25,ROW MODERN,,
,VACANT LAND INDUST ACRE+,1,,,0.0,0.0,,,,,,0,,0.0,,,,,B,,49980.0,0.0,0.0,,,,I,,19125.0,ICMX,1001677562,,,39.98613557829443,-75.12053171872572
,VACANT LAND INDUST < ACRE,13,,40.0,0.0,0.0,,,20.0,,,0,,0.0,,,,,E,,87940.0,0.0,0.0,13326.0,,,I,,19148.0,RSA5,1001677680,,,39.92617299315326,-75.15665489422706
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,69150.0,0.0,0.0,66458.0,,,,,19145.0,RSA5,1001683084,,,39.91204117206084,-75.18724189727023
,,6,,36.0,0.0,0.0,,,128.0,,,0,,0.0,,,,,,,58890.0,0.0,0.0,8264.0,,,,,19145.0,RSA5,1001683075,,,39.9080584145909,-75.1910145347385
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682255,,,39.96657197528251,-75.1915507560087
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682256,,,39.96657197528251,-75.1915507560087
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682257,,,39.96655734184987,-75.19149692606929
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682258,,,39.96655734184987,-75.19149692606929
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682259,,,39.966569493189176,-75.19137026934845
,HSE WORSHIP ALL 2 STY M+O,13,,120.0,0.0,0.0,,,29.0,,,0,,0.0,,,,,A,,40980.0,0.0,0.0,52546.0,,,,,19145.0,RM1,1001681823,,,39.90965999529737,-75.18037121180541
,IND SCRAP METAL YD MASON,6,,,0.0,0.0,,,,,,0,,0.0,,,,,A,,73260.0,0.0,0.0,61364.0,,,I,,19134.0,ICMX,1001684154,,,39.98521124295888,-75.11826617888904
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,40980.0,0.0,0.0,29853.0,,,,,19145.0,CMX2,1001683073,,,39.9105937797764,-75.18737712745792
,SEMI/DET 2.5 STY MASONRY,6,,76.0,0.0,0.0,,,25.0,,,0,,0.0,,,,1780.0,B,,75380.0,0.0,0.0,5988.0,,,I,,19128.0,RSA1,1001682269,,,40.01784111104753,-75.20841087264013
,IND WAREHOUSE MASONRY+OTH,6,,415.0,0.0,0.0,,,27.0,,,0,,0.0,,,,,E,,81560.0,0.0,0.0,11249.0,,,I,,19146.0,I2,1001677995,,,39.93985129790656,-75.18062181792993
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,40980.0,0.0,0.0,58167.0,,,,,19145.0,RSA5,1001683085,,,39.90933561060101,-75.18861105560207
,IND SCRAP METAL YD MASON,6,,,0.0,0.0,,,,,,0,,0.0,,,,,A,,73260.0,0.0,0.0,9592.0,,,I,,19134.0,ICMX,1001684156,,,39.98500980797857,-75.11724494355752
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,64670.0,0.0,0.0,5178.0,,,,,19145.0,RSA5,1001683081,,,39.91125290975185,-75.18814709778154
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682260,,,39.96658522563703,-75.19134602434427
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682261,,,39.96652000026784,-75.19137420374037
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682272,,,39.966659756116805,-75.19187368182031
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682273,,,39.96671974976058,-75.19183909088883
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682274,,,39.96666339498161,-75.19192875146436
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682270,,,39.966645133077535,-75.1918198665788
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682271,,,39.966645133077535,-75.1918198665788
,VACANT LAND COMMER < ACRE,1,Y,51.0,0.0,0.0,1.0,,18.0,2.0,3 ,0,1.0,0.0,,4.0,3.0,724.0,E,,13000.0,0.0,0.0,918.0,2643.0,A,I,2023.0,19103.0,RM1,1001684911,25,ROW MODERN,39.956198583546126,-75.17564368144618
,VACANT LAND COMMER < ACRE,1,Y,51.0,0.0,0.0,1.0,,18.0,2.0,3 ,0,1.0,0.0,,4.0,3.0,724.0,E,,13000.0,0.0,0.0,918.0,2643.0,A,I,2023.0,19103.0,RM1,1001684912,25,ROW MODERN,39.956198583546126,-75.17564368144618
,APTS 5-50 UNITS MASONRY,6,,180.0,0.0,0.0,,,20.0,,,0,,0.0,,,,667.0,E,,24360.0,0.0,0.0,3616.0,,,I,,19146.0,RM1,1001681732,,,39.943009337809016,-75.17088419570618
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1444.0,1924.0,,I,2023.0,19123.0,RSA5,1001682037,25,ROW MODERN,39.96499062043421,-75.15883060301266
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,26.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1485.0,2091.0,,I,2024.0,19123.0,RSA5,1001682052,25,ROW MODERN,39.96503792489212,-75.15904881337111
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682038,25,ROW MODERN,39.9650495031375,-75.15882355496747
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682040,25,ROW MODERN,39.96516619204621,-75.15880041208422
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,25.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1457.0,2064.0,,I,2024.0,19123.0,RSA5,1001682053,25,ROW MODERN,39.9651105601292,-75.15903699041412
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682039,25,ROW MODERN,39.96510784757928,-75.15881198295081
,APTS 5-50 UNITS MASONRY,6,,38.0,0.0,0.0,,,36.0,,,0,,0.0,,,,887.0,E,,56820.0,0.0,0.0,1377.0,,,I,,19146.0,RSA5,1001685070,,,39.94147927561025,-75.18199893013178
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682045,25,ROW MODERN,39.9654579133297,-75.15874255163796
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,25.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1457.0,2064.0,,I,2024.0,19123.0,RSA5,1001682059,25,ROW MODERN,39.965523041132805,-75.15895518431988
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,25.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1457.0,2064.0,,I,2024.0,19123.0,RSA5,1001682060,25,ROW MODERN,39.96559178812386,-75.15894155045356
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,25.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1457.0,2064.0,,I,2024.0,19123.0,RSA5,1001682062,25,ROW MODERN,39.96572928204797,-75.15891428029813
,DET 1 STY MASONRY,6,,255.0,0.0,0.0,,,232.0,,,0,,0.0,,,,,B,,23215.0,0.0,0.0,54699.0,,,I,,19128.0,RSD3,1001680789,,,40.03860394666671,-75.22951679387384
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682044,25,ROW MODERN,39.965399569795686,-75.15875412373946
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682046,25,ROW MODERN,39.9655162577891,-75.1587309806522
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682047,25,ROW MODERN,39.96557460224722,-75.15871940964654
,APTS 5-50 UNITS MASONRY,6,,36.0,0.0,0.0,,,37.0,,,0,,0.0,,,,887.0,E,,56820.0,0.0,0.0,1428.0,,,I,,19146.0,RSA5,1001685069,,,39.94146316600011,-75.18187045967676
,APTS 5-50 UNITS MASONRY,6,,38.0,0.0,0.0,,,36.0,,,0,,0.0,,,,887.0,E,,56820.0,0.0,0.0,1377.0,,,I,,19146.0,RSA5,1001685073,,,39.94152701465696,-75.18237807829605
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,25.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1457.0,2064.0,,I,2024.0,19123.0,RSA5,1001682061,25,ROW MODERN,39.96566053416016,-75.15892791425404
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,25.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1457.0,2064.0,,I,2024.0,19123.0,RSA5,1001682058,25,ROW MODERN,39.96545429506664,-75.15896881929429
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,27.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1821.0,1924.0,,I,2023.0,19123.0,RSA5,1001682051,25,ROW MODERN,39.96581689082226,-75.1586796146219
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,64670.0,0.0,0.0,33557.0,,,,,19145.0,RSA5,1001683076,,,39.90913302996599,-75.19021224987235
,VACANT LAND COMMER < ACRE,6,,172.0,0.0,0.0,,,20.0,,,0,,0.0,,,,,A,,34780.0,0.0,0.0,3312.0,,,I,,19128.0,RSA5,1001676741,,,40.03700288622596,-75.22445435965635
,APTS 5-50 UNITS MASONRY,6,,65.0,0.0,0.0,,,28.0,,,0,,0.0,,,,887.0,E,,56820.0,0.0,0.0,1894.0,,,I,,19146.0,RSA5,1001685074,,,39.941559935403205,-75.1825445745484
,APTS 5-50 UNITS MASONRY,6,,38.0,0.0,0.0,,,36.0,,,0,,0.0,,,,887.0,E,,56820.0,0.0,0.0,1377.0,,,I,,19146.0,RSA5,1001685072,,,39.94151110178058,-75.18225169551546
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682049,25,ROW MODERN,39.96569129110689,-75.15869626523568
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,25.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1457.0,2064.0,,I,2024.0,19123.0,RSA5,1001682063,25,ROW MODERN,39.965798028159966,-75.15890064755335
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,32.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1834.0,2105.0,,I,2024.0,19123.0,RSA5,1001682064,25,ROW MODERN,39.96587005350786,-75.15889238038916
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682050,25,ROW MODERN,39.965749635508416,-75.15868469183053
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,40980.0,0.0,0.0,256952.0,,,,,19145.0,RSA5,1001683086,,,39.91240484413715,-75.19056407759689
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682048,25,ROW MODERN,39.96563294662483,-75.15870783511116
,IND WAREHOUSE MASONRY,6,,198.0,0.0,0.0,,,66.0,,,0,,0.0,,,,,E,,88140.0,0.0,0.0,13076.0,,,I,,19145.0,CMX2,1001680245,,,39.91844171787204,-75.17801507729789
,IND WAREHOUSE MASONRY,6,,198.0,0.0,0.0,,,3.0,,,0,,0.0,,,,,E,,88140.0,0.0,0.0,594.0,,,I,,19145.0,CMX2,1001680246,,,39.91844171787204,-75.17801507729789
,IND WAREHOUSE MASONRY,6,,198.0,0.0,0.0,,,3.0,,,0,,0.0,,,,,E,,88140.0,0.0,0.0,594.0,,,I,,19145.0,CMX2,1001680247,,,39.91844171787204,-75.17801507729789
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,58890.0,0.0,0.0,5756.0,,,,,19145.0,RSA5,1001683078,,,39.91063462932678,-75.19019317194255
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,69150.0,0.0,0.0,10839.0,,,,,19145.0,RSA5,1001683083,,,39.912371578973726,-75.18983693888721
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,25.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1457.0,2064.0,,I,2024.0,19123.0,RSA5,1001682056,25,ROW MODERN,39.965316801102205,-75.15899608805893
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,40980.0,0.0,0.0,100723.0,,,,,19145.0,RSA5,1001683074,,,39.909279822822896,-75.19123109300958
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,25.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1457.0,2064.0,,I,2024.0,19123.0,RSA5,1001682054,25,ROW MODERN,39.96517930713075,-75.15902335671329
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,25.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1457.0,2064.0,,I,2024.0,19123.0,RSA5,1001682057,25,ROW MODERN,39.96538554809848,-75.15898245427537
A,VACANT LAND COMMER < ACRE,1,Y,58.0,0.0,0.0,1.0,,25.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,62960.0,0.0,0.0,1457.0,2064.0,,I,2024.0,19123.0,RSA5,1001682055,25,ROW MODERN,39.96524805410412,-75.15900972181497
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682043,25,ROW MODERN,39.96534122536021,-75.15876569585546
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682041,25,ROW MODERN,39.96522453648545,-75.15878884002787
A,VACANT LAND COMMER < ACRE,1,Y,67.0,0.0,0.0,1.0,,21.0,,B ,0,1.0,0.0,,3.0,3.0,,A,,88050.0,0.0,0.0,1450.0,1924.0,,I,2023.0,19123.0,RSA5,1001682042,25,ROW MODERN,39.9652828809499,-75.15877726912159
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,58890.0,0.0,0.0,35794.0,,,,,19145.0,RSA5,1001683079,,,39.91079824858375,-75.18885974925794
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,58890.0,0.0,0.0,46713.0,,,,,19145.0,RSA5,1001683077,,,39.91015613998192,-75.1896769334875
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,69150.0,0.0,0.0,66458.0,,,,,19145.0,RSA5,1001683082,,,39.91182538307062,-75.18859360474906
,VACANT LAND BILLBOARD,6,,,0.0,0.0,,,,,,0,,0.0,,,,,A,,44947.0,0.0,0.0,,,,,,19146.0,IRMX,1001680409,,,39.94030162567896,-75.18385255439529
A,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,77320.0,0.0,0.0,624.0,1695.0,A,I,2021.0,19125.0,RSA5,1001683727,25,ROW MODERN,39.97721355336853,-75.11470334625135
,IND. LGHT MFG MASONRY,6,,39.0,0.0,0.0,,,16.0,,,0,,0.0,,,,1340.0,E,,70780.0,0.0,0.0,4762.0,,,I,,19125.0,RSA5,1001683732,,,39.977147767057325,-75.114627021876
A,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,24.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,70780.0,0.0,0.0,943.0,1350.0,A,I,2023.0,19125.0,RSA5,1001683723,25,ROW MODERN,39.97714778805817,-75.11462672006704
A,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,70780.0,0.0,0.0,629.0,1695.0,A,I,2023.0,19125.0,RSA5,1001683720,25,ROW MODERN,39.97714778805817,-75.11462672006704
A,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,77320.0,0.0,0.0,637.0,1695.0,,I,2021.0,19125.0,RSA5,1001683731,25,ROW MODERN,39.97731173657837,-75.11451532205787
A,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,77320.0,0.0,0.0,627.0,1695.0,A,I,2021.0,19125.0,RSA5,1001683728,25,ROW MODERN,39.977237972140045,-75.11465633962077
,APTS 5-50 UNITS MASONRY,12,,200.0,0.0,0.0,,,16.0,,,0,,0.0,,,,,E,,64280.0,0.0,0.0,3232.0,,,,,19130.0,RSA5,1001681851,,,39.969351074674165,-75.16559157328794
,APTS 5-50 UNITS MASONRY,12,,4.0,0.0,0.0,,,32.0,,,0,,0.0,,,,,E,,64280.0,0.0,0.0,128.0,,,,,19130.0,RSA5,1001681852,,,39.969553661753,-75.16537432583567
,APTS 5-50 UNITS MASONRY,12,,4.0,0.0,0.0,,,32.0,,,0,,0.0,,,,,E,,64280.0,0.0,0.0,128.0,,,,,19130.0,RSA5,1001681853,,,39.969553661753,-75.16537432583567
,DET CONV APT 2.5 STY STON,6,,330.0,0.0,0.0,,,28.0,,,0,,0.0,,,,,A,,50480.0,0.0,0.0,14468.0,,,I,,19128.0,RSA2,1001677641,,,40.03790925579696,-75.21399439441487
,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,70780.0,0.0,0.0,630.0,1695.0,A,I,2023.0,19125.0,RSA5,1001683717,25,ROW MODERN,39.97714778805817,-75.11462672006704
A,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,70780.0,0.0,0.0,629.0,1695.0,A,I,2023.0,19125.0,RSA5,1001683718,25,ROW MODERN,39.97714778805817,-75.11462672006704
A,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,70780.0,0.0,0.0,624.0,1695.0,A,I,2023.0,19125.0,RSA5,1001683721,25,ROW MODERN,39.97714778805817,-75.11462672006704
A,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,77320.0,0.0,0.0,627.0,1695.0,A,I,2021.0,19125.0,RSA5,1001683729,25,ROW MODERN,39.9772625502462,-75.11460928812417
A,IND. LGHT MFG MASONRY,1,Y,,0.0,0.0,1.0,,,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,77320.0,0.0,0.0,620.0,1695.0,A,I,2021.0,19125.0,RSA5,1001683725,25,ROW MODERN,39.97716483332192,-75.11479702457645
A,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,77320.0,0.0,0.0,620.0,1695.0,A,I,2021.0,19125.0,RSA5,1001683726,25,ROW MODERN,39.97718913922717,-75.11474992752788
,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,70780.0,0.0,0.0,633.0,1695.0,A,I,2023.0,19125.0,RSA5,1001683716,25,ROW MODERN,39.97714778805817,-75.11462672006704
A,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,70780.0,0.0,0.0,634.0,1695.0,A,I,2023.0,19125.0,RSA5,1001683722,25,ROW MODERN,39.97714778805817,-75.11462672006704
